Dross  n. 1 rubbish. 2 a scum from melted metals. B impurities. [old english]
Vodka  n. Alcoholic spirit distilled esp. In russia from rye etc. [russian]
Meany  var. Of *meanie.
Stork  n. Long-legged usu. White wading bird. [old english]
Hullo  var. Of *hello.
Delta  n. 1 triangular area of earth, alluvium etc. At the mouth of a river, formed by its diverging outlets. 2 a fourth letter of the greek alphabet (d, d). B fourth-class mark for work etc. [greek]
Helot  n. Serf, esp. (helot) of a class in ancient sparta. [latin from greek]
Amity  n. Friendship. [latin amicus friend]
Vibes  n.pl. Colloq. 1 vibrations, esp. Feelings communicated. 2 = *vibraphone. [abbreviation]
Sloth  n. 1 laziness, indolence. 2 slow-moving s. American mammal that hangs upside down in trees. [from *slow]
Snout  n. 1 projecting nose and mouth of an animal. 2 derog. Person's nose. 3 pointed front of a thing. [low german or dutch]
Talus  n. (pl. Tali) ankle-bone supporting the tibia. [latin, = ankle]
Villa  n. 1 country house; mansion. 2 rented holiday home, esp. Abroad. 3 (usu. As part of an address) detached or semi-detached house in a residential district. [italian and latin]
Trout  n. (pl. Same or -s) fish related to the salmon, valued as food. [latin tructa]
Apply  v. (-ies, -ied) 1 (often foll. By for, to, or to + infin.) Formally request. 2 be relevant. 3 a make use of; employ (apply the rules; apply common sense). B operate (apply the brakes). 4 (often foll. By to) put or spread on. 5 refl. (often foll. By to) devote oneself. [latin applico fasten to]
Appal  v. (-ll-) 1 greatly dismay or horrify. 2 (as appalling adj.) Colloq. Very bad, shocking. [french apalir grow pale: related to *pale1]
Qualm  n. 1 misgiving; uneasy doubt. 2 scruple of conscience. 3 momentary faint or sick feeling. [origin uncertain]
Testa  n. (pl. Testae)  seed's protective outer covering. [latin: related to *test2]
Rumba  n. 1 latin american ballroom dance orig. From cuba. 2 music for this. [american spanish]
Facet  n. 1 aspect. 2 side of a cut gem etc. [french: related to *fact]
Agree  v. (-ees, -eed, -eeing) 1 hold the same opinion (i agree with you). 2 consent (agreed to go). 3 (often foll. By with) a become or be in harmony. B suit (fish didn't agree with him). C gram. Have the same number, gender, case, or person as. 4 reach agreement about (agreed a price). 5 (foll. By on) decide mutually on (agreed on a compromise).  be agreed be of one opinion. [latin: related to *ad-, gratus pleasing]
Mover  n. 1 person, animal, or thing that moves or dances, esp. In a specified way. 2 person who moves a proposition. 3 (also prime mover) originator.
Knave  n. 1 rogue, scoundrel. 2 = *jack n. 2.  knavery n. (pl. -ies). Knavish adj. [old english, originally = boy, servant]
Merge  v. (-ging) 1 (often foll. By with) a combine. B join or blend gradually. 2 (foll. By in) (cause to) lose character and identity in (something else). [latin mergo dip]
Macaw  n. Long-tailed brightly coloured american parrot. [portuguese macao]
Wight  n. Archaic person. [old english, = thing, creature]
Pixie  n. (also pixy) (pl. -ies) fairy-like being. [origin unknown]
Monad  n. 1 the number one; unit. 2 philos. Ultimate unit of being (e.g. A soul, an atom, a person, god).  monadic adj. [greek monas -ados unit]
Hoick  v. Colloq. (often foll. By out) lift or pull, esp. With a jerk. [perhaps var. Of *hike]
Cobol  n. Computer language for use in commerce. [common business oriented language]
Chive  n. Small plant with long onion-flavoured leaves. [latin cepa onion]
Viand  n. Formal (usu. In pl.) Article of food. [latin vivo live]
Maker  n. 1 person who makes. 2 (maker) god.
Hadji  var. Of *hajji.
Bilge  n. 1 a the almost flat part of a ship's bottom. B (in full bilge-water) filthy water that collects there. 2 slang nonsense. [probably var. Of *bulge]
Voile  n. Fine semi-transparent fabric. [french, = *veil]
Manna  n. 1 substance miraculously supplied as food to the israelites in the wilderness (exod. 16). 2 unexpected benefit (esp. Manna from heaven). [old english ultimately from hebrew]
Pasta  n. Dried flour paste in various shapes (e.g. Lasagne or spaghetti). [italian: related to *paste]
Tooth  n. (pl. Teeth) 1 each of a set of hard bony enamel-coated structures in the jaws of most vertebrates, used for biting and chewing. 2 toothlike part or projection, e.g. The cog of a gearwheel, the point of a saw or comb, etc. 3 (often foll. By for) taste; appetite. 4 (in pl.) Force, effectiveness.  armed to the teeth completely and elaborately armed. Fight tooth and nail fight very fiercely. Get one's teeth into devote oneself seriously to. In the teeth of 1 in spite of (opposition or difficulty etc.). 2 contrary to (instructions etc.). 3 directly against (the wind etc.).  toothed adj. (also in comb.). Toothless adj. [old english]
Psych  v. Colloq. 1 (usu. Foll. By up; often refl.) Prepare (oneself or another) mentally for an ordeal etc. 2 (often foll. By out) intimidate or frighten (a person), esp. For one's own advantage. 3 (usu. Foll. By out) analyse (a person's motivation etc.) For one's own advantage (can't psych him out). [abbreviation]
Lathe  n. Machine for shaping wood, metal, etc., by rotating the article against cutting tools. [origin uncertain]
Stile  n. Steps allowing people but not animals to climb over a fence or wall. [old english]
Abyss  n. 1 deep chasm. 2 immeasurable depth (abyss of despair). [latin from greek, = bottomless]
Caret  n. Mark (^) indicating a proposed insertion in printing or writing. [latin, = is lacking]
Carer  n. Person who cares for a sick or elderly person, esp. A relative at home.
Logic  n. 1 a science of reasoning. B particular system or method of reasoning. 2 a chain of reasoning (regarded as sound or unsound). B use of or ability in argument. 3 inexorable force, compulsion, or consequence (the logic of events). 4 a principles used in designing a computer etc. B circuits using this.  logician n. [related to *-logic]
Avoid  v. 1 keep away or refrain from. 2 escape; evade. 3 law quash, annul.  avoidable adj. Avoidance n. [french]
Piton  n. Peg driven into rock or a crack to support a climber or rope. [french]
Aphid  n. Small insect infesting and damaging plants, e.g. The greenfly.
Oriel  n. (in full oriel window) projecting window of an upper storey. [french]
Scion  n. 1 shoot of a plant etc., esp. One cut for grafting or planting. 2 descendant; younger member of (esp. A noble) family. [french]
Bodge  var. Of *botch.
Means  n.pl. 1 (often treated as sing.) Action, agent, device, or method producing a result (means of quick travel). 2 a money resources (live beyond one's means). B wealth (man of means).  by all means certainly. By means of by the agency etc. Of. By no means certainly not. [from *mean3]
Piles  n.pl. Colloq. Haemorrhoids. [latin pila ball]
Ghyll  var. Of *gill3.
Scrim  n. Open-weave fabric for lining or upholstery etc. [origin unknown]
Siren  n. 1 a device for making a loud wailing or warning sound. B this sound. 2 (in greek mythology) woman or winged creature whose singing lured unwary sailors on to rocks. 3 (often attrib.) Temptress; seductress. [greek seiren]
Venom  n. 1 poisonous fluid of esp. Snakes. 2 malignity; virulence.  venomous adj. Venomously adv. [latin venenum]
Vicar  n. Clergyman of a church of england parish where he formerly received a stipend rather than tithes: cf. *rector 1. [latin vicarius substitute: related to *vice3]
Willy  n. (also willie) (pl. -ies) colloq. Penis. [diminutive of william]
Cabal  n. 1 secret intrigue. 2 political clique. [french from latin]
Piety  n. (pl. -ies) 1 quality of being pious. 2 pious act. [latin: related to *pious]
Phone  n. & v. (-ning) colloq. = *telephone. [abbreviation]
Annoy  v. 1 (often in passive) anger or distress slightly (am annoyed with you). 2 molest, harass.  annoyance n. [latin in odio hateful]
Niche  n. 1 shallow recess, esp. In a wall. 2 comfortable or apt position in life or employment. 3 position from which an entrepreneur exploits a gap in the market; profitable corner of the market. [latin nidus nest]
Furor  n. (brit. Furore) 1 uproar; fury. 2 enthusiastic admiration. [latin: related to *fury]
Bosom  n. 1 a person's (esp. Woman's) breast. B colloq. Each of a woman's breasts. C enclosure formed by the breast and arms. 2 emotional centre (bosom of one's family). [old english]
Usage  venial is sometimes confused with venal, which means ‘corrupt’.
Withe  n. (also withy) (pl. Withes or withies) tough flexible shoot, esp. Of willow, used for binding, basketwork, etc. [old english]
Theft  n. Act of stealing. [old english: related to *thief]
Sward  n. Literary expanse of turf. [old english, = skin]
Parse  v. (-sing) 1 describe (a word in context) grammatically, stating its inflection, relation to the sentence, etc. 2 resolve (a sentence) into its component parts and describe them grammatically. [perhaps from french pars parts: related to *part]
Write  v. (-ting; past wrote; past part. Written) 1 mark paper or some other surface with symbols, letters, or words. 2 form or mark (such symbols etc.). 3 form or mark the symbols of (a word or sentence, or document etc.). 4 fill or complete (a sheet, cheque, etc.) With writing. 5 transfer (data) into a computer store. 6 (esp.
Chump  n. 1 colloq. Foolish person. 2 thick end of a loin of lamb or mutton (chump chop). 3 short thick block of wood.  off one's chump slang crazy. [blend of *chunk, *lump1]
Stoat  n. Mammal of the weasel family with brown fur turning mainly white in the winter. [origin unknown]
Guile  n. Cunning or sly behaviour; treachery, deceit.  guileful adj. Guileless adj. [french from scandinavian]
Dozen  n. 1 (prec. By a or a number) (pl. Dozen) twelve (a dozen eggs; two dozen eggs). 2 set of twelve (sold in dozens). 3 (in pl.; usu. Foll. By of) colloq. Very many (dozens of errors).  talk nineteen to the dozen talk incessantly. [latin duodecim twelve]
Arras  n. Hist. Rich tapestry or wall-hanging. [arras in france]
Radar  n. 1 system for detecting the direction, range, or presence of objects, by sending out pulses of high frequency electromagnetic waves which they reflect. 2 apparatus for this. [from radio detection and ranging]
Munch  v. Eat steadily with a marked action of the jaws. [imitative]
Patty  n. (pl. -ies) little pie or pasty. [french *pâté, after *pasty1]
Abort  v. 1 miscarry. 2 a effect abortion of (a foetus). B effect abortion in (a mother). 3 end or cause (a project etc.) To end before completion. [latin orior be born]
Adore  v. (-ring) 1 love intensely. 2 worship as divine. 3 colloq. Like very much.  adoration n. Adorer n. [latin adoro worship]
Joule  n. Si unit of work or energy. [joule, name of a physicist]
Comma  n. Punctuation mark (,) indicating a pause or break between parts of a sentence etc. [greek, = clause]
Caste  n. 1 any of the hindu hereditary classes whose members have no social contact with other classes. 2 exclusive social class or system of classes.  lose caste descend in social order. [spanish and portuguese: related to *chaste]
Shako  n. (pl. -s) cylindrical plumed peaked military hat. [hungarian csákó]
Horde  n. Usu. Derog. Large group, gang. [turkish ordu camp]
Hobby  n. (pl. -ies) leisure-time activity pursued for pleasure. [from the name robin]
Logan  n. (in full logan-stone) poised heavy stone rocking at a touch. [= (dial.) Logging, = rocking]
Whelm  v. Poet. 1 engulf. 2 crush with weight. [old english]
Whorl  n. 1 ring of leaves etc. Round a stem. 2 one turn of a spiral. [apparently var. Of *whirl]
Trial  n. 1 judicial examination and determination of issues between parties by a judge with or without a jury. 2 test (will give you a trial). 3 trying thing or person (trials of old age). 4 match held to select players for a team. 5 (often in pl.) Contest involving performance by horses, dogs, motor cycles, etc.  on trial 1 being tried in a court of law. 2 being tested; to be chosen or retained only if suitable. [anglo-french: related to *try]
Owlet  n. Small or young owl.
Jalap  n. Purgative drug from the tuberous roots of a mexican climbing plant. [spanish xalapa, name of a mexican city, from aztec]
Weber  n. The si unit of magnetic flux. [weber, name of a physicist]
Co-op  n. Colloq. Cooperative society or shop. [abbreviation]
Kudos  n. Colloq. Glory; renown. [greek]
Pietà  n. Representation of the virgin mary holding the dead body of christ on her lap. [italian, = *piety]
Covet  v. (-t-) desire greatly (esp. A thing belonging to another person). [french: related to *cupid]
Ounce  n. 1 unit of weight, 1/16 lb or approx. 28 g. 2 very small quantity. [latin uncia twelfth part of a pound or a foot]
Squib  n. 1 small hissing firework that finally explodes. 2 satirical essay. [perhaps imitative]
Edify  v. (-ies, -ied) improve morally or intellectually.  edification n. [latin aedifico build]
Busby  n. (pl. -ies) tall fur hat worn by hussars etc. [origin unknown]
Niter  n. (brit. Nitre) saltpetre. [greek nitron]
Juror  n. 1 member of a jury. 2 person taking an oath.
Mayor  n. 1 head of the corporation of a city or borough. 2 head of a district council with the status of a borough.  mayoral adj. [latin: related to *major]
Halal  n. (also hallal) (often attrib.) Meat from an animal killed according to muslim law. [arabic]
Amaze  v. (-zing) surprise greatly, fill with wonder.  amazement n. Amazing adj. [earlier amase from old english amasod]
Bogie  n. Wheeled undercarriage below a locomotive etc. [origin unknown]
Carat  n. 1 unit of weight for precious stones (200 mg). 2 measure of purity of gold (pure gold = 24 carats). [french ultimately from greek keras horn]
Mamba  n. Venomous african snake. [zulu imamba]
Zloty  n. (pl. Same or -s) chief monetary unit of poland. [polish]
Adder  n. Small venomous snake, esp. The common viper. [old english, originally nadder]
Dixie  n. Southern states of the us. [origin uncertain]
Oomph  n. Slang 1 energy, enthusiasm. 2 attractiveness, esp. Sex appeal. [origin uncertain]
Canal  n. 1 artificial inland waterway. 2 tubular duct in a plant or animal. [latin canalis]
Cubit  n. Ancient measure of length, approximating to the length of a forearm. [latin cubitum elbow]
Mound  n. 1 raised mass of earth, stones, etc. 2 heap or pile; large quantity. 3 hillock. [origin unknown]
Tryst  n. Archaic meeting, esp. Of lovers. [french]
Jihad  n. (also jehad) muslim holy war against unbelievers. [arabic jihad]
Idiot  n. 1 stupid person. 2 mentally deficient person incapable of rational conduct.  idiotic adj. Idiotically adv. [greek idiotes, = private citizen, ignorant person]
Flunk  v. Us colloq. Fail (esp. An exam). [origin unknown]
Whist  n. Card-game usu. For two pairs of players. [earlier whisk, perhaps from *whisk (with ref. To whisking away the tricks): perhaps associated with whist! (= silence)]
Expat  n. & adj. Colloq. Expatriate. [abbreviation]
Tunny  n. (pl. Same or -ies) = *tuna. [greek thunnos]
Relic  n. 1 object that is interesting because of its age or association. 2 part of a dead holy person's body or belongings kept as an object of reverence. 3 surviving custom or belief etc. From a past age. 4 memento or souvenir. 5 (in pl.) What has survived. 6 (in pl.) Dead body or remains of a person. [latin reliquiae remains: related to *relinquish]
Islam  n. 1 the religion of the muslims, proclaimed by muhammad. 2 the muslim world.  islamic adj. [arabic, = submission (to god)]
Egret  n. A kind of heron with long white feathers. [french aigrette]
Annul  v. (-ll-) 1 declare invalid. 2 cancel, abolish.  annulment n. [latin nullus none]
Pease  n.pl. Archaic peas. [latin pisa]
Cruse  n. Archaic earthenware pot. [old english]
Wader  n. 1 long-legged water-bird that wades. 2 (in pl.) High waterproof boots.
Easel  n. Stand for an artist's work, a blackboard, etc. [dutch ezel ass]
Gunny  n. (pl. -ies) 1 coarse sacking, usu. Of jute fibre. 2 sack made of this. [hindi and marathi]
Helix  n. (pl. Helices) spiral curve (like a corkscrew) or coiled curve (like a watch spring). [latin from greek]
Maths  n. Colloq. Mathematics. [abbreviation]
Imago  n. (pl. -s or imagines) fully developed stage of an insect, e.g. A butterfly. [latin: see *image]
Shrub  n. Any woody plant smaller than a tree and with branches near the ground.  shrubby adj. [old english]
Erase  v. (-sing) 1 rub out; obliterate. 2 remove all traces of. 3 remove recorded material from (magnetic tape or disk). [latin rado ras- scrape]
Algol  n. High-level computer programming language. [from *algorithm, *language]
Colic  n. Severe spasmodic abdominal pain.  colicky adj. [latin: related to *colon2]
Trove  n. = *treasure trove. [anglo-french trové from trover find]
Copal  n. Resin of a tropical tree, used for varnish. [spanish from aztec]
Hooch  n. Us colloq. Alcoholic liquor, esp. Inferior or illicit whisky. [alaskan]
Debug  v. (-gg-) colloq. 1 remove concealed microphones from (a room etc.). 2 remove defects from (a computer program etc.). 3 = *delouse.
Onion  n. Vegetable with an edible bulb of a pungent smell and flavour.  oniony adj. [latin unio -onis]
Pluto  n. Outermost known planet of the solar system. [greek plouton, god of the underworld]
Gruel  n. Liquid food of oatmeal etc. Boiled in milk or water. [french from germanic]
D-day  n. 1 day (6 june 1944) on which allied forces invaded n. France. 2 important or decisive day. [d for day]
Rejig  v. (-gg-) 1 re-equip (a factory etc.) For a new kind of work. 2 rearrange.
Diary  n. (pl. -ies) 1 daily record of events or thoughts. 2 book for this or for noting future engagements. [latin dies day]
Ruche  n. Frill or gathering of lace etc.  ruched adj. [french, = beehive]
Ennui  n. Mental weariness from idleness or lack of interest; boredom. [french: related to *annoy]
Jabot  n. Ornamental frill etc. On the front of a shirt or blouse. [french]
Borax  n. Salt used in making glass and china, and as an antiseptic. [french ultimately from persian]
Finis  n. End, esp. Of a book. [latin]
Grove  n. Small wood or group of trees. [old english]
Poser  n. 1 poseur. 2 colloq. Puzzling question or problem.
Cress  n. Any of various plants with pungent edible leaves. [old english]
Joker  n. 1 person who jokes. 2 slang person. 3 playing-card used in some games.
Hyena  n. (also hyaena) doglike flesh-eating mammal. [latin from greek]
Dirge  n. 1 lament for the dead. 2 any dreary piece of music. [latin imperative dirige = direct, used in the office for the dead]
Spoof  n. & v. Colloq. 1 parody. 2 hoax, swindle. [invented word]
Abbey  n. (pl. -s) 1 building(s) occupied by a community of monks or nuns. 2 the community itself. 3 building that was once an abbey.
Retry  v. (-ies, -ied) try (a defendant or lawsuit) a second or further time.
Boots  n. Hotel servant who cleans shoes etc.
Verve  n. Enthusiasm, vigour, spirit. [french]
Vinyl  n. Plastic made by polymerization, esp. Polyvinyl chloride. [latin vinum wine]
Éclat  n. 1 brilliant display. 2 social distinction; conspicuous success. [french]
Grist  n. Corn to grind.  grist to the (or a person's) mill source of profit or advantage. [old english: related to *grind]
Salad  n. Cold mixture of usu. Raw vegetables, often with a dressing. [french salade from latin sal salt]
Lefty  n. (pl. -ies) colloq. 1 polit. Often derog. Left-winger. 2 left-handed person.
Comer  n. Person who comes as an applicant etc. (offered it to the first comer).
Naiad  n. Water-nymph. [latin from greek]
Nomen  n. Ancient roman's second or family name, as in marcus tullius cicero. [latin, = name]
Miner  n. Person who works in a mine. [french: related to *mine2]
Exude  v. (-ding) 1 ooze out. 2 emit (a smell). 3 display (an emotion etc.) Freely.  exudation n. [latin sudo sweat]
Spasm  n. 1 sudden involuntary muscular contraction. 2 convulsive movement or emotion etc. 3 (usu. Foll. By of) colloq. Brief spell. [greek spasma from spao pull]
Gulch  n. Us ravine, esp. One in which a torrent flows. [origin uncertain]
Amour  n. (esp. Secret) love affair. [french, = love]
Thong  n. Narrow strip of hide or leather. [old english]
Mocha  n. 1 coffee of fine quality. 2 flavouring made with this. [mocha, port on the red sea]
Untie  v. (untying) 1 undo (a knot, package, etc.). 2 release from bonds or attachment.
Arise  v. (-sing; past arose; past part. Arisen) 1 originate. 2 (usu. Foll. By from, out of) result. 3 come to one's notice; emerge. 4 rise, esp. From the dead or from kneeling. [old english a- intensive prefix]
Gamma  n. 1 third letter of the greek alphabet (g, g). 2 third-class mark for a piece of work etc. [greek]
Usage  venal is sometimes confused with venial, which means ‘pardonable’.
Rhino  n. (pl. Same or -s) colloq. Rhinoceros. [abbreviation]
Kiddo  n. (pl. -s) slang = *kid1 n. 3.
Jemmy  n. (pl. -ies) burglar's short crowbar. [from the name james]
April  n. Fourth month of the year. [latin]
Eater  n. 1 person who eats (a big eater). 2 eating apple etc.
Flair  n. 1 natural talent in a specific area (flair for languages). 2 style, finesse. [french flairer to smell]
Fryer  n. (also frier) 1 person who fries. 2 vessel for frying esp. Fish.
Facia  var. Of *fascia.
Birth  n. 1 emergence of a baby or young from its mother's body. 2 beginning (birth of civilization). 3 a ancestry (of noble birth). B high or noble birth; inherited position.  give birth to 1 produce (young). 2 be the cause of. [old norse]
Ruler  n. 1 person exercising government or dominion. 2 straight usu. Graduated strip of wood, metal, or plastic used to draw or measure.
Debag  v. (-gg-) slang remove the trousers of (a person), esp. As a joke.
Feces  n.pl. (brit. Faeces) waste matter discharged from the bowels.  faecal adj. [latin]
Cumin  n. (also cummin) 1 plant with aromatic seeds. 2 these as flavouring. [greek kuminon]
Uvula  n. (pl. Uvulae) fleshy part of the soft palate hanging above the throat.  uvular adj. [latin diminutive of uva grape]
Stair  n. 1 each of a set of fixed indoor steps. 2 (usu. In pl.) Set of these. [old english]
Frith  var. Of *firth.
Event  n. 1 thing that happens. 2 fact of a thing's occurring. 3 item in a (esp. Sports) programme.  at all events (or in any event) whatever happens. In the event as it turns (or turned) out. In the event of if (a specified thing) happens. In the event that if it happens that. [latin venio vent- come]
Guise  n. 1 assumed appearance; pretence. 2 external appearance. [germanic: related to *wise2]
Faith  n. 1 complete trust or confidence. 2 firm, esp. Religious, belief. 3 religion or creed (christian faith). 4 loyalty, trustworthiness. [latin fides]
Aries  n. (pl. Same) 1 constellation and first sign of the zodiac (the ram). 2 person born when the sun is in this sign. [latin, = ram]
Arête  n. Sharp mountain ridge. [french from latin arista spine]
Toxin  n. Poison produced by a living organism.
Thyme  n. Any of several herbs with aromatic leaves. [greek thumon]
Hymen  n. Membrane at the opening of the vagina, usu. Broken at the first occurrence of sexual intercourse. [greek humen membrane]
Arena  n. 1 central part of an amphitheatre etc. 2 scene of conflict; sphere of action. [latin, = sand]
Shale  n. Soft rock of consolidated mud or clay that splits easily.  shaly adj. [german: related to *scale2]
Death  n. 1 irreversible ending of life; dying or being killed. 2 instance of this. 3 destruction; ending (death of our hopes). 4 being dead (eyes closed in death). 5 (usu. Death) personification of death, esp. As a skeleton. 6 lack of spiritual life.  at death's door close to death. Be the death of 1 cause the death of. 2 be annoying or harmful to. Catch one's death colloq. Catch a serious chill etc. Do to death 1 kill. 2 overdo. Fate worse than death colloq. Very unpleasant experience. Put to death kill or cause to be killed. To death to the utmost, extremely (bored to death).  deathlike adj. [old english]
Parch  v. 1 make or become hot and dry. 2 roast (peas, corn, etc.) Slightly. [origin unknown]
Abhor  v. (-rr-) detest; regard with disgust. [latin: related to *horror
Trike  n. Colloq. Tricycle. [abbreviation]
Cocoa  n. 1 powder made from crushed cacao seeds, often with other ingredients. 2 drink made from this. [altered from *cacao]
Neddy  n. (pl. -ies) colloq. 1 donkey. 2 (neddy) = *nedc. [pet form of edward]
Senna  n. 1 cassia. 2 laxative from the dried pod of this. [arabic]
Sitka  n. (in full sitka spruce) fast-growing spruce yielding timber. [sitka in alaska]
Avert  v. (often foll. By from) 1 turn away (one's eyes or thoughts). 2 prevent or ward off (esp. Danger).
Hanky  n. (also hankie) (pl. -ies) colloq. Handkerchief. [abbreviation]
Riser  n. 1 person who rises from bed (early riser). 2 vertical section between the treads of a staircase.
Nadir  n. 1 part of the celestial sphere directly below an observer. 2 lowest point; time of deep despair. [arabic, = opposite]
Hinny  n. (pl. -ies) offspring of a female donkey and a male horse. [greek hinnos]
Ankle  n. 1 joint connecting the foot with the leg. 2 this part of the leg. [old norse]
Hertz  n. (pl. Same) si unit of frequency, equal to one cycle per second. [hertz, name of a physicist]
Babel  n. 1 confused noise, esp. Of voices. 2 scene of confusion. [hebrew, = babylon (gen. 11)]
Lotus  n. 1 legendary plant inducing luxurious languor when eaten. 2 a kind of water lily etc., esp. Used symbolically in hinduism and buddhism. [greek lotos]
Spiel  n. Slang glib speech or story; sales pitch. [german, = game]
Pasha  n. Hist. Title (placed after the name) of a turkish military commander, governor, etc. [turkish]
Hazel  n. 1 hedgerow shrub bearing round brown edible nuts. 2 greenish-brown. [old english]
Denim  n. 1 (often attrib.) Hard-wearing usu. Blue cotton twill used for jeans, overalls, etc. 2 (in pl.) Colloq. Jeans etc. Made of this. [french de of, nîmes in france]
Mange  n. Skin disease in hairy and woolly animals. [french mangeue itch, from latin manduco chew]
Troth  n. Archaic 1 faith, loyalty. 2 truth.  pledge (or plight) one's troth pledge one's word, esp. In marriage or betrothal. [old english: related to *truth]
Verse  n. 1 poetry. 2 stanza of a poem or song. 3 each of the short numbered divisions of the bible. 4 poem. [latin versus: related to *versatile]
Edict  n. Order proclaimed by authority. [latin edico proclaim]
Pater  n. Colloq. Father. [latin]
Whiff  n. 1 puff or breath of air, smoke, etc. 2 smell. 3 (foll. By of) trace of scandal etc. 4 small cigar. [imitative]
Gecko  n. (pl. -s) tropical house-lizard. [malay]
Mixer  n. 1 machine for mixing foods etc. 2 person who manages socially in a specified way (a good mixer). 3 (usu. Soft) drink to be mixed with another. 4 device that receives two or more separate signals from microphones etc. And combines them in a single output.
Gloom  n. 1 darkness; obscurity. 2 melancholy; despondency. [origin unknown]
Tapas  n.pl. (often attrib.) Small savoury esp. Spanish dishes. [spanish]
Skill  n. (often foll. By in) ability to do something well; technique, expertise. [old norse, = difference]
Pools  n.pl. (prec. By the) = *football pool.
Spire  n. 1 tapering structure, esp. On a church tower. 2 any tapering thing. [old english]
Kapok  n. Fine fibrous cotton-like substance from a tropical tree, used for padding. [malay]
Daunt  v. Discourage, intimidate.  daunting adj. [latin domito from domo tame]
Sprit  n. Small diagonal spar from the mast to the upper outer corner of a sail. [old english]
Sahib  n. Hist. (in india) form of address to european man. [arabic, = lord]
Skive  v. (-ving) (often followed by off) slang evade work; play truant.  skiver n. [old norse]
Gourd  n. 1 a fleshy usu. Large fruit with a hard skin. B climbing or trailing plant of the cucumber family bearing this. 2 dried skin of the gourd-fruit, used as a drinking-vessel etc. [latin cucurbita]
Telly  n. (pl. -ies) colloq. 1 television. 2 television set. [abbreviation]
Romeo  n. (pl. -s) passionate male lover or seducer. [name of a character in shakespeare]
Furze  n. = *gorse.  furzy adj. [old english]
Allow  v. 1 (often foll. By to + infin.) Permit. 2 assign a limited amount etc. (was allowed £500). 3 (usu. Foll. By for) provide or set aside for a purpose; add or deduct in consideration (allow £50 for expenses; allow for wastage). [originally = commend, from french: related to *ad-, latin laudo praise, loco place]
Nappy  n. (pl. -ies) piece of towelling etc. Wrapped round a baby to absorb or retain urine and faeces. [from *napkin]
Onset  n. 1 attack. 2 impetuous beginning.
Diode  n. 1 semiconductor allowing the flow of current in one direction only and having two terminals. 2 thermionic valve having two electrodes. [from *di-1, *electrode]
Rider  n. 1 person who rides (esp. A horse). 2 additional remark following a statement, verdict, etc.  riderless adj.
Mufti  n. Civilian clothes (in mufti). [arabic]
Timer  n. Person or device that measures or records time taken.
Bloke  n. Slang man, fellow. [shelta]
Tribe  n. 1 group of (esp. Primitive) families or communities, linked by social, religious, or blood ties, and usu. Having a common culture and dialect and a recognized leader. 2 any similar natural or political division. 3 usu. Derog. Set or number of persons, esp. Of one profession etc. Or family.  tribal adj. Tribalism n. [latin tribus]
Début  n. (us debut) first public appearance (as a performer etc.). [french]
Hydra  n. 1 freshwater polyp with a tubular body and tentacles. 2 something hard to destroy. [greek, a mythical snake with many heads that grew again when cut off]
Wheat  n. 1 cereal plant bearing dense four-sided seed-spikes. 2 its grain, used in making flour etc. [old english]
Servo  n. (pl. -s) 1 powered mechanism producing motion at a higher level of energy than the input level. 2 (in comb.) Involving this. [latin servus slave]
Adage  n. Traditional maxim, proverb. [french from latin]
Attic  n. Space or room at the top of a house, usu. Under the roof. [from *attic, with ref. To an architectural feature]
Larva  n. (pl. -vae) stage of an insect's development between egg and pupa.  larval adj. [latin, = ghost]
Farsi  n. Modern persian language. [persian]
Excel  v. (-ll-) 1 surpass. 2 be pre-eminent. [latin excello be eminent]
Inlet  n. 1 small arm of the sea, a lake, or a river. 2 piece inserted. 3 way of entry. [from *in, *let1]
Paean  n. (us pean) song of praise or triumph. [latin from greek]
Bingo  n. Gambling game in which each player has a card with numbers to be marked off as they are called. [origin uncertain]
Lorry  n. (pl. -ies) large vehicle for transporting goods etc. [origin uncertain]
Shall  v.aux. (3rd sing. Present shall; archaic 2nd sing. Present shalt; past should) (foll. By infin. Without to, or absol.; present and past only in use) 1 (in the 1st person) expressing the future tense or (with shall stressed) emphatic intention (i shall return soon). 2 (in the 2nd and 3rd persons) expressing a strong assertion, command, or duty (they shall go to the party; thou shalt not steal; they shall obey). 3 (in 2nd-person questions) expressing an enquiry, esp. To avoid the form of a request (shall you go to france?).  shall i? (or we) do you want me (or us) to? [old english]
Micro  n. (pl. -s) colloq. 1 = *microcomputer. 2 = *microprocessor.
Gizmo  var. Of *gismo.
Bacon  n. Cured meat from the back or sides of a pig. [french from germanic]
Allot  v. (-tt-) apportion or distribute to (a person), esp. As a share or task (they were allotted equal sums). [french a to, *lot]
Puppy  n. (pl. -ies) 1 young dog. 2 conceited or arrogant young man. [french: related to *poppet]
Honey  n. (pl. -s) 1 sweet sticky yellowish fluid made by bees from nectar. 2 colour of this. 3 a sweetness. B sweet thing. 4 esp. Us (usu. As a form of address) darling. [old english]
Rowel  n. Spiked revolving disc at the end of a spur. [latin rotella diminutive: related to *rota]
Seise  var. Of *seize 6.
Ember  n. (usu. In pl.) Small piece of glowing coal etc. In a dying fire. [old english]
Bhang  n. Indian hemp used as a narcotic. [portuguese from sanskrit]
Enjoy  v. 1 take pleasure in. 2 have the use or benefit of. 3 experience (enjoy good health).  enjoy oneself experience pleasure.  enjoyment n. [french]
